work_package,split_name,split_sha256,git_sha,run_id,arch,recipe_actual,variant,provenance_tag,ckpt_sha256,condition_id,stage,n_images,norm_p50,norm_p90,norm_p99,norm_p999,norm_max,mad_thr,count_fixed_canon,count_fixed_cal,count_mad,cos_all,cos_nosink_mad,eff_rank
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,native,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,15.998,16.6338,0.5084761473,0.5420822046,84.3000066
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,native,s11_out,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,16.5365,18.2317,0.3330094708,0.4019579996,87.58555889
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,native,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.0108,0.3569515021,0.3569561171,112.2270348
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,legacy-mixupdir,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,native,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,2.3944,3.9122,0.5018157908,0.5090203239,105.5363198
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,legacy-mixupdir,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,native,s11_out,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,2.28,6.6566,0.33657057,0.3544963117,113.4378686
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_mixupdir_registers,vit_small,mixup,registers,legacy-mixupdir,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,native,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.2262,0.3281334993,0.3284483134,117.6740341
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,legacy-nomixdir,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,native,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,3.4503,4.1076,0.5021385038,0.5128945514,105.1745521
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,legacy-nomixdir,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,native,s11_out,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,4.135,7.9637,0.3258948192,0.3462501931,113.8359952
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,legacy_e2_vit_small_nomixdir_registers,vit_small,mixup,registers,legacy-nomixdir,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,native,s12_post_norm,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,0,0.3634,0.2962611227,0.2966621666,119.3537606
I2_terminal,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,eb2c810d11dcbd2b1e7bf481360b29862510756c,e2r_vits_mixup_saga_s1,vit_small,mixup,saga,s1,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,native,hist,10000,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,10.3046,16.292,0.3365507066,0.3710941696,97.94464762
