run_id,arch,recipe_actual,variant,condition_id,stage,transform,descriptor,n_images,n_images_with_exceedance,mean_n_shared_exc,mean_n_shared_nonexc,acc_exc,acc_exc_ci_lo,acc_exc_ci_hi,acc_nonexc,acc_nonexc_ci_lo,acc_nonexc_ci_hi,delta_exc_minus_nonexc,delta_ci_lo,delta_ci_hi,chance_exact,endpoint_class
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T1,l2,2000,261,1.0355,194.9645,0.6469143405,0.6079571533,0.6846288486,0.806367746,0.8034888849,0.8091626392,-0.168926547,-0.2076446504,-0.1310487411,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T1,centred_l2,2000,261,1.0355,194.9645,0.6549246784,0.6169378904,0.6924002328,0.8079232138,0.8051044949,0.8107575597,-0.162611873,-0.2011481552,-0.1251669476,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T2,l2,2000,2000,13.2065,168.7935,0.3650394603,0.3554292196,0.3745122284,0.8734173424,0.8700665418,0.8766572293,-0.5083778821,-0.5166992971,-0.5002629154,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T2,centred_l2,2000,2000,13.2065,168.7935,0.3659292859,0.3561820656,0.3754232049,0.8721167412,0.8687754992,0.8753613397,-0.5061874553,-0.51452216,-0.4979854536,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T2,l2,2000,2000,9.5015,172.4985,0.297490553,0.2877391293,0.3068198453,0.8616397022,0.8582122637,0.8649847971,-0.5641491492,-0.5729534703,-0.5555392053,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T2,centred_l2,2000,2000,9.5015,172.4985,0.2896903847,0.2801283104,0.2989327786,0.8631036693,0.8597215145,0.8663918019,-0.5734132847,-0.5821632153,-0.564988448,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T2,l2,2000,202,0.5615,181.4385,0.7356057636,0.6901243593,0.7800583649,0.8405107237,0.8368571473,0.8440998969,-0.09474195184,-0.1413750992,-0.04927039428,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T2,centred_l2,2000,202,0.5615,181.4385,0.7339816306,0.6874009755,0.7793102358,0.842534957,0.8389256623,0.8460804981,-0.09815644894,-0.1450278551,-0.0518564109,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T3,l2,2000,2000,11.2815,156.7185,0.3028206976,0.2934979754,0.3120116043,0.8446619475,0.84107562,0.8481685622,-0.5418412499,-0.5499910077,-0.5337392218,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s11_out,T3,centred_l2,2000,2000,11.2815,156.7185,0.3043246975,0.2949282649,0.3135823526,0.842570564,0.8389883668,0.8460747424,-0.5382458665,-0.5464322957,-0.5300958382,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T3,l2,2000,1998,7.6395,160.3605,0.2286995895,0.2195653906,0.2375613421,0.8284488588,0.8247598351,0.8321078275,-0.5997086299,-0.6082564963,-0.5912514297,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,hist,T3,centred_l2,2000,1998,7.6395,160.3605,0.2225561694,0.2134660557,0.2314998452,0.8311101432,0.8274392034,0.8346971091,-0.6085130192,-0.6169685129,-0.6001179788,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T3,l2,2000,240,0.6945,167.3055,0.6663818759,0.6224235664,0.7082646134,0.8128239618,0.8090140239,0.8165294373,-0.1483465756,-0.1922296887,-0.1069970207,0.005102040816,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,native,s12_post_norm,T3,centred_l2,2000,240,0.6945,167.3055,0.6787281716,0.6354310452,0.7205494687,0.8156114695,0.8118473042,0.8192891476,-0.1398098677,-0.1821904997,-0.09894513027,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T0,l2,2000,2000,14.517,181.483,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s11_out,T0,centred_l2,2000,2000,14.517,181.483,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
