scope,run_id,arch,recipe_actual,variant,stage,transform,descriptor,diagnostic,n,spearman_rho,mean_acc_exact,mean_diagnostic,endpoint_class
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T0,centred_l2,count_mad_stage,2000,MISSING,1,9.5685,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T0,l2,count_mad_s11,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T0,l2,count_mad_stage,2000,MISSING,1,1.0355,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_s11,2000,MISSING,1,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_stage,2000,MISSING,1,1.0355,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T1,l2,count_mad_s11,2000,0.03545315461,0.8025739796,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T1,l2,count_mad_stage,2000,0.03545315461,0.8025739796,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T1,centred_l2,count_mad_s11,2000,0.03834334973,0.7999668367,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T1,centred_l2,count_mad_stage,2000,0.03834334973,0.7999668367,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T1,l2,count_mad_s11,2000,0.04915895826,0.7954821429,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T1,l2,count_mad_stage,2000,-0.2965167065,0.7954821429,9.5685,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T1,centred_l2,count_mad_s11,2000,0.03521305717,0.7966530612,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T1,centred_l2,count_mad_stage,2000,-0.3024323642,0.7966530612,9.5685,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T1,l2,count_mad_s11,2000,0.03083127978,0.8051709184,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T1,l2,count_mad_stage,2000,0.04914957091,0.8051709184,1.0355,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_s11,2000,0.03229898386,0.8067576531,14.049,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T1,centred_l2,count_mad_stage,2000,0.0509874197,0.8067576531,1.0355,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T2,l2,count_mad_s11,2000,-0.1556009004,0.8382527473,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T2,l2,count_mad_stage,2000,-0.1556009004,0.8382527473,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T2,centred_l2,count_mad_s11,2000,-0.1569906839,0.8371071429,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s11_out,T2,centred_l2,count_mad_stage,2000,-0.1569906839,0.8371071429,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T2,l2,count_mad_s11,2000,-0.1529136514,0.8330961538,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T2,l2,count_mad_stage,2000,-0.4122808627,0.8330961538,9.8585,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T2,centred_l2,count_mad_s11,2000,-0.1620827115,0.8341208791,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,hist,T2,centred_l2,count_mad_stage,2000,-0.4116991079,0.8341208791,9.8585,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T2,l2,count_mad_s11,2000,-0.1619017363,0.8400659341,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T2,l2,count_mad_stage,2000,-0.02947691995,0.8400659341,0.612,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T2,centred_l2,count_mad_s11,2000,-0.1627693291,0.8420961538,13.847,secondary
within_checkpoint,e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s12_post_norm,T2,centred_l2,count_mad_stage,2000,-0.02926299539,0.8420961538,0.612,secondary
