run_id,arch,recipe_actual,variant,provenance_tag,condition_id,stage,transform,descriptor,n_images,n_shared,grid,chance_exact,chance_1,acc_exact_mean,acc_exact_ci_lo,acc_exact_ci_hi,acc_1_mean,acc_1_ci_lo,acc_1_ci_hi,mean_nn_sim,acc_exact_over_chance,endpoint_class
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s11_out,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8087380952,0.804949256,0.8124167411,0.8475238095,0.8442380208,0.8507440476,0.9483932789,158.5126667,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8026607143,0.7988213542,0.8064285714,0.8417261905,0.8383421875,0.8449880952,0.9790705793,157.3215,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,hist,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8049315476,0.8011369048,0.8086162946,0.8435446429,0.8402111607,0.8467768601,0.9431465654,157.7665833,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8119404762,0.8081604911,0.8156339286,0.8494404762,0.846139881,0.852690625,0.9574719197,159.1403333,secondary
e2r_vitb_mixup_baseline_s1,vit_base,mixup,baseline,s1,native,s12_post_norm,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8147410714,0.8109850446,0.8183958333,0.8522857143,0.8489821429,0.8554856399,0.9270263797,159.68925,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999987,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999992,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.999999999,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999993,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999988,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.999999999,196,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8928979592,0.8905662628,0.8951454719,0.9268979592,0.9250969388,0.9286530612,0.9571001223,175.008,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8930943878,0.8907933036,0.8953418367,0.9271505102,0.9253774872,0.9288928571,0.9344074701,175.0465,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8894821429,0.8871274235,0.8917831633,0.9244285714,0.922627551,0.9262220026,0.9565529823,174.3385,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8880739796,0.8857116709,0.8903929209,0.9226760204,0.9208367347,0.9244848214,0.9319111014,174.0625,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8955280612,0.8932473852,0.8977526148,0.9296403061,0.9278954082,0.9313596939,0.9490815153,175.5235,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T1,centred_l2,2000,196,14,0.005102040816,0.04164931279,0.8951632653,0.8928928571,0.8973878827,0.9289209184,0.9271836097,0.930630102,0.922077918,175.452,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9050824176,0.9019835165,0.9080576923,0.9403763736,0.9386317995,0.9421565934,0.9773154494,177.3961538,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9053571429,0.9022527473,0.9083352335,0.9408763736,0.9391126374,0.9426565934,0.9648432925,177.45,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9031016484,0.9000383242,0.90606875,0.9389862637,0.937225206,0.9407637363,0.9750540387,177.0079231,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9018653846,0.8987637363,0.9048737637,0.9373186813,0.9355410714,0.9391401099,0.963969844,176.7656154,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T2,l2,2000,182,14,0.005102040816,0.04261045077,0.9080467033,0.9049861951,0.9110138049,0.9435769231,0.9418626374,0.9452830357,0.9702843703,177.9771538,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9076950549,0.9046290522,0.9106620879,0.9429587912,0.941225206,0.9446785714,0.9581779484,177.9082308,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.894547619,0.8915654762,0.8974197917,0.9232857143,0.9208540179,0.9256011905,0.9645509257,175.3313333,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s11_out,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8952380952,0.8922796875,0.8980982887,0.9238928571,0.9214880952,0.9262142857,0.9455224365,175.4666667,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8914732143,0.888505878,0.8943482143,0.920827381,0.9184135417,0.9231607143,0.9608239892,174.72875,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,hist,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8908511905,0.8878452381,0.8937380952,0.9196994048,0.9172738095,0.9220357143,0.943658161,174.6068333,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.897514881,0.8945595238,0.900384003,0.9259970238,0.9236158482,0.9283125744,0.9543827259,175.9129167,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,legacy-mixupdir,native,s12_post_norm,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8975952381,0.8946517113,0.900422619,0.9256011905,0.9232409226,0.9278928571,0.9346726316,175.9286667,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999986,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999977,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999978,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999979,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999987,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999991,196,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T1,l2,2000,196,14,0.005102040816,0.04164931279,0.8988163265,0.8967754464,0.9008188776,0.9305331633,0.9289234056,0.9320918367,0.9559758808,176.168,secondary
