run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
e2r_vitb_mixup_saga_s1,vit_base,mixup,saga,s12_post_norm,T3,l2,2000,0.871202381,0.867610119,-0.003592261905,-0.003883928571,-0.00330952381,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T1,centred_l2,2000,0.9102040816,0.9064489796,-0.003755102041,-0.004035714286,-0.003484693878,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T1,l2,2000,0.9090153061,0.9054464286,-0.003568877551,-0.003854591837,-0.003288265306,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T2,centred_l2,2000,0.916739011,0.9142692308,-0.00246978022,-0.00268956044,-0.00225,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T2,l2,2000,0.915467033,0.9132692308,-0.002197802198,-0.002414835165,-0.001980769231,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T3,centred_l2,2000,0.8982172619,0.895047619,-0.003169642857,-0.003455357143,-0.002892857143,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,hist,T3,l2,2000,0.8970833333,0.893485119,-0.003598214286,-0.003889880952,-0.003306547619,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T1,centred_l2,2000,0.9133214286,0.9133214286,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T1,l2,2000,0.9124285714,0.9124285714,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T2,centred_l2,2000,0.9183543956,0.9183543956,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T2,l2,2000,0.9174450549,0.9174450549,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T3,centred_l2,2000,0.9009464286,0.9009464286,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s11_out,T3,l2,2000,0.8999613095,0.8999613095,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_saga,vit_small,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
