run_id,arch,recipe_actual,scope,stage,condition_id,layer,diagnostic,n_images,mean_original,mean_condition,mean_delta,ci_lo,ci_hi,excludes_zero,tau_cal_value,bootstrap_resamples,bootstrap_seed,split_sha256,ckpt_sha256,git_sha
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L7,7,count_fixed_cal,10000,11.4605,11.476,0.0155,0.0101,0.0209025,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L7,7,count_mad,10000,15.1385,15.1571,0.0186,0.0074,0.0299,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L7,7,cos_all,10000,0.3427894118,0.3427881604,-1.251408458e-06,-1.050178785e-05,7.897194102e-06,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L7,7,cos_nosink_mad,10000,0.3969170614,0.3969534196,3.635820448e-05,-7.605660707e-07,7.388038881e-05,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L7,7,eff_rank,10000,95.80499099,95.80025042,-0.004740565491,-0.005764059591,-0.00372097188,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L8,8,count_fixed_cal,10000,11.4605,11.4606,0.0001,-0.003,0.0032,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L8,8,count_mad,10000,15.1385,15.1501,0.0116,0.001,0.0222,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L8,8,cos_all,10000,0.3427894118,0.3427574009,-3.201086819e-05,-3.713851187e-05,-2.68973539e-05,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L8,8,cos_nosink_mad,10000,0.3969170614,0.396921853,4.79156971e-06,-2.836787734e-05,3.878251687e-05,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s1,vit_small,mixup,fresh,s11_out,mean_L8,8,eff_rank,10000,95.80499099,95.80667435,0.001683364868,0.001116486597,0.00225050334,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,5afe5394ddb2b3b926d60d03c63462c5778fc39fa9eacb23a1d2655e80f6f5d5,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L7,7,count_fixed_cal,10000,12.5946,12.62,0.0254,0.0187,0.0324,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L7,7,count_mad,10000,15.4031,15.4238,0.0207,0.011,0.0304,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L7,7,cos_all,10000,0.3394070392,0.3393354664,-7.1572873e-05,-7.887064707e-05,-6.41967959e-05,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L7,7,cos_nosink_mad,10000,0.3907964116,0.3908022799,5.868297815e-06,-2.662230466e-05,3.783445172e-05,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L7,7,eff_rank,10000,101.2150905,101.1963644,-0.01872615967,-0.01966944928,-0.01779187661,1,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
e2r_vits_mixup_saga_s2,vit_small,mixup,fresh,s11_out,mean_L8,8,count_fixed_cal,10000,12.5946,12.5982,0.0036,-0.0002,0.0074,0,18.69854832,10000,0,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,624a6006447345b4fe7f9ee15cedfae3d1c36838cf2f0fe38907261f5e530daf,e9bc99596db9244061bdef4c2b51a387a3eed7af
