run_id,arch,recipe_actual,variant,scope,split_name,split_sha256,masks_sha256,condition_id,role,layer,epsilon,control_kind,control_index,mask_id,n_masked_coords,n_images,theta_nats,ci_lo,ci_hi,excludes_zero,delta_top1_points,frac_theta_positive,mean_injected_norm,mean_energy_rel_error,max_energy_rel_error,energy_within_tolerance,n_zero_norm_images,max_abs_logit_diff_vs_native,bootstrap_resamples,bootstrap_seed,ckpt_sha256,git_sha
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e10m_L7,control,7,10,energy_matched,3,K3_L7,16,10000,-8.91906891e-05,-0.0002226036065,4.332574267e-05,0,-0.02,0.3974,1.480745182,2.360657262e-08,1.684869151e-07,1,0,0.2462525368,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e10m_L8,control,8,10,energy_matched,3,K3_L8,16,10000,-9.977982538e-05,-0.0002076721605,7.749753478e-06,0,-0.01,0.4152,1.420556754,2.376211807e-08,1.897659777e-07,1,0,0.3515595198,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e25m_L7,control,7,25,energy_matched,3,K3_L7,16,10000,-0.0001769626803,-0.0005163327176,0.0001622085878,0,-0.04,0.4,3.701862891,2.822500945e-08,1.543348849e-07,1,0,0.6254656315,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl3_e25m_L8,control,8,25,energy_matched,3,K3_L8,16,10000,-0.0002092018262,-0.0004797067128,6.247110412e-05,0,-0.01,0.4143,3.551391821,2.706122094e-08,1.591324228e-07,1,0,0.952626586,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e10f_L7,control,7,10,fixed_epsilon,4,K4_L7,16,10000,-0.0001647320849,-0.0002993060567,-2.820175924e-05,1,-0.01,0.4033,1.480992446,MISSING,MISSING,MISSING,0,0.1935931444,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e10f_L8,control,8,10,fixed_epsilon,4,K4_L8,16,10000,-3.535724804e-05,-0.0001471428861,8.008701191e-05,0,0,0.4194,1.442921187,MISSING,MISSING,MISSING,0,0.2204005718,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e10m_L7,control,7,10,energy_matched,4,K4_L7,16,10000,-0.0001632758279,-0.0002973036537,-2.710107602e-05,1,0,0.4034,1.480745182,2.348699121e-08,1.684164433e-07,1,0,0.1927706003,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e10m_L8,control,8,10,energy_matched,4,K4_L8,16,10000,-3.810030855e-05,-0.0001485385043,7.601857328e-05,0,0,0.4198,1.420556753,2.405795661e-08,1.82971423e-07,1,0,0.2517809868,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e25m_L7,control,7,25,energy_matched,4,K4_L7,16,10000,-0.0003477029293,-0.0006888148594,-3.697017278e-06,1,-0.02,0.405,3.701862893,2.869266049e-08,2.357894975e-07,1,0,0.4852142334,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl4_e25m_L8,control,8,25,energy_matched,4,K4_L8,16,10000,-5.226660799e-05,-0.0003304603797,0.0002360783781,0,-0.04,0.4219,3.55139182,2.748447481e-08,2.127860816e-07,1,0,0.6535669565,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e10f_L7,control,7,10,fixed_epsilon,5,K5_L7,16,10000,-0.0001098587522,-0.0002525809397,3.238814216e-05,0,0,0.4047,1.487353149,MISSING,MISSING,MISSING,0,0.3340773582,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e10f_L8,control,8,10,fixed_epsilon,5,K5_L8,16,10000,-6.503378265e-05,-0.0001929310711,6.468136517e-05,0,0,0.4224,1.443094283,MISSING,MISSING,MISSING,0,0.2240662575,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,fresh,evaluation,7fdf5f9f2ace98ef03a6267455daa1104b92b6689c510ab8b1e5420340f27014,MISSING,ctrl5_e10m_L7,control,7,10,energy_matched,5,K5_L7,16,10000,-0.000111726741,-0.0002531537495,2.982973494e-05,0,0.01,0.4043,1.480745182,2.322553198e-08,1.674249062e-07,1,0,0.3465461731,10000,0,3aa41a7225b69146a419c618049d7a9f348d259d3ae750749755e0addc2759ac,f1dcac340d8c474de6deead9c84f21c4ac581fba
