run_id,group,image_id,metric,value
e2r_vitb_mixup_baseline_s1,random200,n01667778/ILSVRC2012_val_00031774_n01667778,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01675722/ILSVRC2012_val_00005647_n01675722,attn_entropy_bits,4.48424729
e2r_vitb_mixup_baseline_s1,random200,n01675722/ILSVRC2012_val_00005647_n01675722,ring1_mass,0.6157384487
e2r_vitb_mixup_baseline_s1,random200,n01675722/ILSVRC2012_val_00005647_n01675722,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01687978/ILSVRC2012_val_00038998_n01687978,attn_entropy_bits,5.10473409
e2r_vitb_mixup_baseline_s1,random200,n01687978/ILSVRC2012_val_00038998_n01687978,ring1_mass,0.4466890075
e2r_vitb_mixup_baseline_s1,random200,n01687978/ILSVRC2012_val_00038998_n01687978,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01773549/ILSVRC2012_val_00012895_n01773549,attn_entropy_bits,4.978889044
e2r_vitb_mixup_baseline_s1,random200,n01773549/ILSVRC2012_val_00012895_n01773549,ring1_mass,0.4806293554
e2r_vitb_mixup_baseline_s1,random200,n01773549/ILSVRC2012_val_00012895_n01773549,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01774384/ILSVRC2012_val_00006437_n01774384,attn_entropy_bits,5.048941456
e2r_vitb_mixup_baseline_s1,random200,n01774384/ILSVRC2012_val_00006437_n01774384,ring1_mass,0.3328793314
e2r_vitb_mixup_baseline_s1,random200,n01774384/ILSVRC2012_val_00006437_n01774384,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01784675/ILSVRC2012_val_00019211_n01784675,attn_entropy_bits,4.556787793
e2r_vitb_mixup_baseline_s1,random200,n01784675/ILSVRC2012_val_00019211_n01784675,ring1_mass,0.4472168819
e2r_vitb_mixup_baseline_s1,random200,n01784675/ILSVRC2012_val_00019211_n01784675,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01806143/ILSVRC2012_val_00011943_n01806143,attn_entropy_bits,4.328974352
e2r_vitb_mixup_baseline_s1,random200,n01806143/ILSVRC2012_val_00011943_n01806143,ring1_mass,0.6343985236
e2r_vitb_mixup_baseline_s1,random200,n01806143/ILSVRC2012_val_00011943_n01806143,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01807496/ILSVRC2012_val_00009226_n01807496,attn_entropy_bits,5.264121197
e2r_vitb_mixup_baseline_s1,random200,n01807496/ILSVRC2012_val_00009226_n01807496,ring1_mass,0.5221971492
e2r_vitb_mixup_baseline_s1,random200,n01807496/ILSVRC2012_val_00009226_n01807496,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01828970/ILSVRC2012_val_00035127_n01828970,attn_entropy_bits,4.961676552
e2r_vitb_mixup_baseline_s1,random200,n01828970/ILSVRC2012_val_00035127_n01828970,ring1_mass,0.5616648323
e2r_vitb_mixup_baseline_s1,random200,n01828970/ILSVRC2012_val_00035127_n01828970,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01843065/ILSVRC2012_val_00044268_n01843065,attn_entropy_bits,4.548181477
e2r_vitb_mixup_baseline_s1,random200,n01843065/ILSVRC2012_val_00044268_n01843065,ring1_mass,0.579294752
e2r_vitb_mixup_baseline_s1,random200,n01843065/ILSVRC2012_val_00044268_n01843065,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01843383/ILSVRC2012_val_00049093_n01843383,attn_entropy_bits,4.230449513
e2r_vitb_mixup_baseline_s1,random200,n01843383/ILSVRC2012_val_00049093_n01843383,ring1_mass,0.5406837342
e2r_vitb_mixup_baseline_s1,random200,n01843383/ILSVRC2012_val_00049093_n01843383,uniform_ring1_mass,0.2244897959
e2r_vitb_mixup_baseline_s1,random200,n01873310/ILSVRC2012_val_00022384_n01873310,attn_entropy_bits,4.398607172
e2r_vitb_mixup_baseline_s1,random200,n01873310/ILSVRC2012_val_00022384_n01873310,ring1_mass,0.5242153934
