arch,recipe,variant,block,cls_norm_ratio,cls_attn_share,ckpt_sha256
vit_base,nomix,registers,1,0.8825436029434204,0.019788325729966163,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,2,0.8566148771286011,0.012700517162680626,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,3,0.774167741394043,0.022051169735193252,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,4,0.6414652349472046,0.027601300373673438,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,5,0.5432424221992492,0.02604604311585426,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,6,0.5367187501907349,0.009951888735592366,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,7,0.5587278367996216,0.009032512618601322,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,8,0.5913268005371094,0.004681713616102934,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,9,0.5169433843612671,0.008566705056279898,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,10,0.527402521276474,0.018344214153289795,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,registers,11,0.6844852001190186,0.13416629400253297,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1
vit_base,nomix,saga,0,1.308365959739685,0.20863468947410582,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,1,1.5772505626678466,0.12286656932830811,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,2,1.5052995162963867,0.06606182569265366,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,3,1.3309502193450928,0.05396117333173752,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,4,1.0332233638763428,0.11612570021152496,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,5,0.7608614950180054,0.05098785912394524,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,6,0.6607249956130982,0.01471427282989025,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,7,0.6249121858596802,0.012059723784029483,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,8,0.5836668978691101,0.03156818373799324,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,9,0.5190060727119445,0.08050420317649841,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,10,0.7181871803283691,0.11294923816919326,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_base,nomix,saga,11,0.8680742188453674,0.1618017388343811,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2
vit_small,mixup,baseline,0,0.8071500861167907,0.3507142327785492,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,1,1.1379850593566894,0.1280538092136383,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,2,1.1752612636566162,0.05793327140212059,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,3,1.245681752204895,0.0761555040359497,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,4,1.0450643991470336,0.09815867356061936,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
vit_small,mixup,baseline,5,0.8732583337783814,0.1121047652721405,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d
