recipe,epoch,iter,layer,grad_phi_norm
mixup,1,300,8,1.87195746548241e-06
mixup,1,300,9,2.1373655272327596e-06
mixup,1,300,10,5.948714942860533e-07
mixup,1,300,11,0.0
mixup,1,400,0,0.00015100656310096383
mixup,1,400,1,3.444727190071717e-05
mixup,1,400,2,2.141929871868342e-05
mixup,1,400,3,9.473526006331667e-06
mixup,1,400,4,5.4300162446452305e-06
mixup,1,400,5,3.1984936867957003e-06
mixup,1,400,6,2.2162130335345864e-06
mixup,1,400,7,1.7109958889705013e-06
mixup,1,400,8,2.3565080482512712e-06
mixup,1,400,9,7.197760965027555e-07
mixup,1,400,10,1.0852166951735853e-06
mixup,1,400,11,0.0
mixup,1,500,0,0.00010863755596801639
mixup,1,500,1,7.013920549070463e-05
mixup,1,500,2,4.51917621830944e-05
mixup,1,500,3,9.659846909926273e-06
mixup,1,500,4,6.287151791184442e-06
mixup,1,500,5,2.4985606614791322e-06
mixup,1,500,6,2.946964741568081e-06
mixup,1,500,7,1.3640598126585246e-06
mixup,1,500,8,1.5212754078675061e-06
mixup,1,500,9,9.502690545559744e-07
mixup,1,500,10,8.268775104625092e-07
mixup,1,500,11,0.0
mixup,1,600,0,0.00012008428166154772
mixup,1,600,1,8.810686267679557e-05
mixup,1,600,2,4.55147928732913e-05
mixup,1,600,3,1.4417328202398494e-05
mixup,1,600,4,8.784574674791656e-06
mixup,1,600,5,5.3060834943607915e-06
mixup,1,600,6,3.1406721063831355e-06
mixup,1,600,7,2.683653519852669e-06
mixup,1,600,8,2.4420703539362876e-06
mixup,1,600,9,1.0991740282406681e-06
mixup,1,600,10,6.553019034072349e-07
mixup,1,600,11,0.0
mixup,1,700,0,0.00015284180699381977
mixup,1,700,1,5.830981535837054e-05
mixup,1,700,2,4.474193701753393e-05
mixup,1,700,3,8.706462722329888e-06
mixup,1,700,4,4.404067112773191e-06
mixup,1,700,5,3.1852669053478166e-06
mixup,1,700,6,2.8783449579350417e-06
mixup,1,700,7,1.5203412431219476e-06
mixup,1,700,8,2.038472985077533e-06
mixup,1,700,9,6.226773621165194e-07
mixup,1,700,10,9.984514690586366e-07
mixup,1,700,11,0.0
mixup,1,800,0,0.00015046635235194117
mixup,1,800,1,7.766458293190226e-05
mixup,1,800,2,5.292058995109983e-05
mixup,1,800,3,1.2795252587238792e-05
mixup,1,800,4,6.911441232659854e-06
mixup,1,800,5,2.4980483885883586e-06
mixup,1,800,6,2.7315152237861184e-06
mixup,1,800,7,1.4189513422024902e-06
mixup,1,800,8,8.208603503589984e-07
mixup,1,800,9,6.576735245289456e-07
mixup,1,800,10,3.929316108042258e-07
mixup,1,800,11,0.0
mixup,1,900,0,0.00019824030459858477
mixup,1,900,1,7.707094482611865e-05
mixup,1,900,2,3.272823596489616e-05
mixup,1,900,3,8.429191439063288e-06
mixup,1,900,4,5.282191523292568e-06
mixup,1,900,5,3.6929700399923604e-06
mixup,1,900,6,1.4901700069458457e-06
mixup,1,900,7,2.0255586150597082e-06
mixup,1,900,8,1.5689565771026537e-06
mixup,1,900,9,1.7857474858828937e-06
mixup,1,900,10,8.049968869272561e-07
mixup,1,900,11,0.0
mixup,1,1000,0,0.0002738088369369507
mixup,1,1000,1,0.00013552159362006932
mixup,1,1000,2,4.924780660076067e-05
mixup,1,1000,3,1.3394816960499156e-05
mixup,1,1000,4,8.253289706772193e-06
mixup,1,1000,5,3.5905470667785266e-06
mixup,1,1000,6,3.0834635253995657e-06
mixup,1,1000,7,2.8564979857037542e-06
mixup,1,1000,8,1.425123286935559e-06
mixup,1,1000,9,1.1719006351995631e-06
mixup,1,1000,10,5.896540642424952e-07
mixup,1,1000,11,0.0
mixup,1,1100,0,0.0002522297145333141
mixup,1,1100,1,0.00010286000178894028
mixup,1,1100,2,4.659260230255313e-05
mixup,1,1100,3,1.4881587958370801e-05
mixup,1,1100,4,6.892137207614724e-06
mixup,1,1100,5,2.5488093342573848e-06
mixup,1,1100,6,2.2679266749037197e-06
mixup,1,1100,7,1.6634437542961678e-06
mixup,1,1100,8,1.2770235571224475e-06
mixup,1,1100,9,9.694175560071017e-07
mixup,1,1100,10,6.953660545150342e-07
mixup,1,1100,11,0.0
mixup,1,1200,0,0.00029814295703545213
mixup,1,1200,1,0.00013838629820384085
mixup,1,1200,2,5.578955460805446e-05
mixup,1,1200,3,2.476834924891591e-05
mixup,1,1200,4,8.376649020647164e-06
mixup,1,1200,5,3.839198143396061e-06
mixup,1,1200,6,2.5232607185898814e-06
mixup,1,1200,7,1.4158666772345896e-06
mixup,1,1200,8,1.7739831719154608e-06
mixup,1,1200,9,8.692599635651277e-07
mixup,1,1200,10,4.4204622895449575e-07
mixup,1,1200,11,0.0
mixup,2,0,0,0.00024308782303705812
mixup,2,0,1,0.00011782548972405493
mixup,2,0,2,5.8227578847436234e-05
mixup,2,0,3,1.5082754543982446e-05
mixup,2,0,4,5.936979960097233e-06
mixup,2,0,5,3.5911891700379783e-06
mixup,2,0,6,2.8192216632305644e-06
mixup,2,0,7,1.9802073438768275e-06
mixup,2,0,8,8.826713724374713e-07
mixup,2,0,9,9.882608082989464e-07
mixup,2,0,10,6.543170911754714e-07
mixup,2,0,11,0.0
mixup,2,100,0,0.0002390419103903696
mixup,2,100,1,0.0001462579530198127
mixup,2,100,2,7.809329690644518e-05
mixup,2,100,3,2.9435263058985583e-05
mixup,2,100,4,6.874941846035654e-06
mixup,2,100,5,3.183810122209252e-06
mixup,2,100,6,3.0797323233855423e-06
mixup,2,100,7,1.6837732346175471e-06
mixup,2,100,8,9.563443654769799e-07
mixup,2,100,9,7.438705438289617e-07
mixup,2,100,10,6.361864279824658e-07
mixup,2,100,11,0.0
mixup,2,200,0,0.00027540267910808325
mixup,2,200,1,0.00013618145021609962
mixup,2,200,2,6.714004121022299e-05
mixup,2,200,3,2.948126166302245e-05
mixup,2,200,4,7.859962352085859e-06
mixup,2,200,5,3.785743047046708e-06
mixup,2,200,6,2.2037213511794107e-06
mixup,2,200,7,2.003989266086137e-06
mixup,2,200,8,1.4108137520452146e-06
mixup,2,200,9,6.234743636923668e-07
mixup,2,200,10,7.811116802258766e-07
mixup,2,200,11,0.0
mixup,2,300,0,0.00016690568008925766
mixup,2,300,1,0.00010642553388606757
mixup,2,300,2,6.076644785935059e-05
mixup,2,300,3,2.1027513867011294e-05
mixup,2,300,4,7.32756643628818e-06
mixup,2,300,5,4.0372988223680295e-06
mixup,2,300,6,2.0189538645354332e-06
mixup,2,300,7,1.0706399962145952e-06
mixup,2,300,8,1.0253168056806317e-06
mixup,2,300,9,6.396213052539679e-07
mixup,2,300,10,2.4051678337855265e-07
