path,filename,size_bytes,mtime_iso,sha256,exp,arch,recipe,variant,seed
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_SAGA_nomix/last.pth,last.pth,1039318365,2026-05-01T11:03:26.465486+00:00,4a1c5a1fe54692afbffdc25f26b9491c255d826f27aefeec9b74cf775ba43ef2,e2,vit_base,nomix,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline/best.pth,best.pth,1038968269,2026-04-25T23:22:29.892726+00:00,0abb6e9641925532a35dd912bead44ff8e16ea4f6a3df100de559b8b5430b1ce,e2,vit_base,mixup,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline/last.pth,last.pth,1038968269,2026-04-26T00:56:52.148228+00:00,467daf9dfcfd712534737cf727ff05155b31e4905cd3597da766224526ba70a5,e2,vit_base,mixup,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline_nomix/best.pth,best.pth,1038968269,2026-04-29T03:19:32.133692+00:00,df97d3215d477450fdc5c747eb8ee85a963e939f7c424ce24eca431a1e4fc3e6,e2,vit_base,nomix,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_baseline_nomix/last.pth,last.pth,1038968333,2026-04-29T05:04:12.591397+00:00,2a7f8c84dc32571e95dc3745422b4960f9dd602433cd42f1e16891b6c491cac5,e2,vit_base,nomix,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers/best.pth,best.pth,1039043001,2026-04-26T07:06:51.941055+00:00,c30f813dcb23c20b7182af0d9493ee71250e91098624e815caf6046098f2e698,e2,vit_base,mixup,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers/last.pth,last.pth,1039043001,2026-04-26T07:22:48.191148+00:00,3e13c788fff6812a17ec0c04a2f1505a2e3af2a9c2db9d6afe9319084cdc1e53,e2,vit_base,mixup,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers_nomix/best.pth,best.pth,1039043001,2026-04-28T14:32:54.722799+00:00,57e053d2a7ab551190b3eebf0fb28bb27fe36d8c6cfcf14272c7332caf942e13,e2,vit_base,nomix,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-B_registers_nomix/last.pth,last.pth,1039043001,2026-04-29T13:52:43.425343+00:00,82365a311187250c34965c93a13ab435adf7ac2ad655115c855f7708f6f8ddb1,e2,vit_base,nomix,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_SAGA/best.pth,best.pth,264946269,2026-04-24T13:37:40.349982+00:00,09d1889c7061db0903edad420833ec1147e507572b28038ff75e1efea139b672,e2,vit_small,mixup,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_SAGA/last.pth,last.pth,264946269,2026-04-24T13:45:34.739132+00:00,92a03a4716ce07c0460eb132720d8a816aaa2bcde49713b86c57c774fef22995,e2,vit_small,mixup,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_SAGA_nomix/best.pth,best.pth,264946269,2026-04-28T00:09:30.157495+00:00,e06051840eaf27b9e1612d5672bf16e52e2e4255e2ea8949fa88e3e64a4c42c3,e2,vit_small,nomix,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_SAGA_nomix/last.pth,last.pth,264946269,2026-04-28T00:33:12.697310+00:00,a482f5286b2c43ffa8d9f6606b1af24d06962421b808babfdd6b123a56b0f9ee,e2,vit_small,nomix,saga,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_baseline/best.pth,best.pth,264764429,2026-04-24T04:22:19.847155+00:00,3667feeb3f80c2b19eef50843bea10532d5d4ecd65d82ec551bfac4435ae45c2,e2,vit_small,mixup,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_baseline/last.pth,last.pth,264764365,2026-04-24T04:54:56.857880+00:00,cd926200127b98cbc597ddad82d84fd823376addc0ac1075a98de73b21e7d17d,e2,vit_small,mixup,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_baseline_nomix/best.pth,best.pth,264764429,2026-04-27T08:29:53.694381+00:00,67c85a1d70b30f54bdacc16c18dbac7da3abba7ca98486536dc6f7a33b76eb07,e2,vit_small,nomix,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_baseline_nomix/last.pth,last.pth,264764429,2026-04-27T08:29:54.294641+00:00,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d,e2,vit_small,nomix,baseline,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_registers/best.pth,best.pth,264802233,2026-04-24T07:11:26.004953+00:00,a99aa1eebdb3503d481f23f8730af39d2a1c2c0ccf019e519e8e86520a882f28,e2,vit_small,mixup,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_registers/last.pth,last.pth,264802233,2026-04-24T07:14:14.335446+00:00,e50859f062be20cf971cefac39fde542bd3dc47fa272f3ed78abc193b71a8a77,e2,vit_small,mixup,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_registers_nomix/best.pth,best.pth,264802233,2026-04-27T15:16:45.034614+00:00,7453f3d4d808979d74c7532bea7be24d566f73680720c6968110383d9d8e52af,e2,vit_small,nomix,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e2/checkpoints/ViT-S_registers_nomix/last.pth,last.pth,264802233,2026-04-27T15:27:45.540889+00:00,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536,e2,vit_small,nomix,registers,rlast
/home/vault/iwi5/iwi5359h/SAGA/e3/checkpoints/ViT-B_SAGA_det/last.pth,last.pth,1238922177,2026-05-03T09:44:08.774575+00:00,865b3adab9b06e96afc323e647683467c7e590f9e8fe856d3acdf954ceb8e662,e3,vit_base,,saga,
/home/vault/iwi5/iwi5359h/SAGA/e3/checkpoints/ViT-B_baseline_det/last.pth,last.pth,1238571889,2026-05-02T14:40:21.708452+00:00,7a0e882644fb1da0d300ec5453102c7fee07eff6bbb41971fa6b8aa6f59fd47b,e3,vit_base,,baseline,
/home/vault/iwi5/iwi5359h/SAGA/e3/checkpoints/ViT-B_registers_det/last.pth,last.pth,1238646621,2026-05-02T17:45:46.075933+00:00,fc224d2b49d8be697116b5b2473ef240fe2be287ad80d024d8755b23bfad6872,e3,vit_base,,registers,
